,0
33,26 idosos tomaram vacina contra covid 19 reino unido morreram bomb stico idosos tomando vacina covid 19 reino unido est falecendo 28 vacinados 26 morreram 2 dia ter tomado vacina genoc dio massa udio abaixo confirmando efeitos adversos doen irrevers veis sentidos alguns n significa bitos n podem come ar instantaneamente luciana vacinaram v rias idosos desde segunda feira at agora est vacinando todos idosos aconteceu muitos idosos morrendo doi dia dia vacina parentes idosos protestar tirar satisfa porque morreram porque idosos est morrendo s s asilo 28 residentes 26 morreram ficaram s doi s voc ter ideia parentes t tudo reclamando entende gente n acredita vacina matar gente pensa vacina ajudar at pensam ajudar est agora est ficando desconfiado porque tiraram tomou vacina vacinado morreram pior tudo n t deixando parente ver corpos t embalando corpos deve tipo foto voc mandou s proibidos verem corpos fam lia pegam corpos levam p lugar ningu m sabe dizem n pode causa contamina olha onde chegamos
34,chinese n usam m scaras reuni instituto butantan brasil reuni chinese butant s apombaiado m skra v algum chin s usando m skra sabe pq nenhum chin s usando m skra pq sabem n serve p nada
35,doria vai gastar r 22 bilh vacina china imunizar s paulo doriana qu gastar n ovachina r 22 bilh vacinar s s paulo enquanto fechadoscombolsonaroate2026 qu gastar r 6 bilh vacina oxford vacinar brasil todo doriatrancarua brunocovas parente diretor butant dimascovas n est cofre p blico s paulo menos paulistanos querem encher bolso dinheiro vacina oxford pra imunizar todos brasileiros custar 6 bilh reais vacina china pra imunizar apenas estado sp custou 22 bilh reais
36,peru suspendeu testis coronavac ap s vacina causar paralisia pernas volunt rio foradoria vacina coronavac deixando pessoas paraliticas voluntarios tomaram vacina efeito paralitico foto doria segurando vacina coronavac urgente peru teste vacina chinesa causar paralisia pernas paralisia pernas efeito colateral coronavac ocorreu duas pessoas
37,torre eiffel iluminada empresa xim nez faz homenagem v timas covid 19 tour eiffel iluminada ano empresa xim nez puente genil reabertura ilumina torre eiffel homenagem fran oferece s v timas covid 19 dado momento cai torre l grima primeiro som v deo som respiradores conectados sucess s mbolos vemos s imagens monitores oxig nio som respectivo sirenes l grimas s homenagem falecidos acometidos covid 19 rel gio representa tempo elemento valioso finalmente luzes elevam representam almas v timas subiram c u trilha sonora maravilhosa
38,maior infectologista brasil alerta pressa efeitos colaterais vacina chinesa veja m dico fala sobre vacina c0r0n4 todo mundo ansioso vacina vem dr anthony wong maior autoridade infectologia brasil d mensagem alerta vamos compartihar v deo
39,sinovac pagou propina doria trazer vacina brasil diz washington post ih enzuh traz novidade voc n ver grande m dia hehe ditadoria totalmente desmoralizado denunciado whashington post receber propina sinovac esclarecendo whashington post equivalente estad esquerda
40,sinovac pagou propina doria trazer vacina brasil diz washington post vagabundo corrupto d ria quer ganhar milh china propina fazer popula cobaia vacina desculpa est preocupadissimo vidas anvisa manda recado ditador
41,sinovac pagou propina doria trazer vacina brasil diz washington post safado bandido canalha querendo receber propina oferecida laborat rio chin s n est preocupado coisa nenhuma apenas propina oferecida chinese l china ningu m tomou querendo fazer cobaias
42,boris johnson revela verdade dizer v ru injetado lugar vacina boris escorregou disse verdade n vacina querem injetar voc v ru milh pessoas ter problemas sa longo prazo grande ind stria farmac utica imune recursos legais parte v timas genoc dio gen tico planejado
43,secret rio sa escreve mensagem chegamos pico mensagem secret rio estado sa chegamos pico irm amigo familiares enfim todos especialistas afirmam partir amanh m nimo 30 dia dif ceis muita dor muitas perdas s rem dio tentar diminuir tudo realizando forma s ria cuidadosa isolamento social portanto conversem amigo familiares n fa visitas n coloquem vida parentes amigo riscos cont gio gigantesco pode vir ar tosse espirro solas sapatos sacolas supermercados embalagens etc vamos junto vencer v ru tudo vai passar ma precisamos fazer passe tantas perdas sofrimento vamos fazer grande campanha partir agora compartilhe envie mensagem todos amigo familiares vamos ter pr ximos dia maior taxon isolamento social brasil junto fortes n esque envie agora mensagem toda redes sociais cuidem higiene pessoal lavem m sempre evitem tocar rosto f deus esperamos disso tudo passar possamos voltar melhores muita coisa precisa mudar dentro n s mundo mensagem secret rio estado sa chegamos pico
44,c s lewis escreveu texto sobre diabo pandemia 1941 c s lewis pandemia incr vel coincid ncia trecho escrito c s lewis 1941 livro cartas diabo aprendiz realidade atual envolvendo pandemia covid 19 jovem dem nio voc conseguiu enviar tantas almas inferno velho diabo usando medo jovem bom trabalho medo guerra fome velho n doen jovem n ficaram doentes n morrendo n havia cura velho adoeceram morreram cura jovem n entendi velho acidentalmente acreditaram nica coisa manter todo custo vida n abra aram n cumprimentaram afastaram un outros renunciaram todo contato humano tudo humano ficaram dinheiro perderam emprego ma optaram temer vida n p acreditaram tudo ouviram leram jornais acreditaram cegamente tudo leram desistiram liberdade n sa ram casa n lugar nenhum n visitavam parentes amigo mundo transformou grande campo concentra prisioneiros volunt rio aceitaram tudo s sobreviver outro dia miser vel n viviam morriam todos dia f cil tirar almas miser veis
45,genival lacerda morreu nesta madrugada v tima covid 19 morre genival lacerda v tima covid 19 faleceu madrugada deste s bado 05 11 2020 hospital unimed recife 89 ano v tima covid 19 cantor compositor genival lacerda natural estado ba m naturalizado estado entitulado cidad recifense
46,genival lacerda morreu nesta madrugada v tima covid 19 nota falecimento acaba falecer madrugada deste s bado 05 12 2020 hospital unimed recife 89 ano v tima covid 19 cantor compositor genival lacerda natural estado ba m naturalizado estado entitulado cidad recifense
47,m dia mortes dia coronav ru 283 prova h histeria coletiva popula mundial 7 773 200 000 morrem dia 159 800 nascem dia 380 717 crescimento populacional dia 220 880 mortes doen transmiss veis dia 35 270 mortes c ncer dia 22 320 mortes fumo dia 13 570 mortes lcool dia 6 797 mortes hiv dia 4 568 mortes acidente transito dia 3 668 mortes suic dio dia 2 914 mortes mal ria dia 2 665 mortes coronav ru dia considerando toda mortes 2 283 21 3 italianos 65 ano 8 06 brasileiros 65 ano brasil morre todos dia 4 083 brasil nasce todos dia 8 054 fonte indexmundi woldmeters ter informa important ssimo entendermos realidade histeria coletiva pagaremos pre alt ssimo economia vida quebradeira geral morte cientes popula forum risco pode deve trabalhar ter apoiar n podem cuidar si pa s precisa acordar realidade caso contrario choro p s v ru muit ssimo maior fique dentro alerta urgente muita gente fala sobre nova ordem mundial nom ma poucas pessoas sabem realmente significa vou fazer breve desenho finalidade utilidade p blica implanta nom agenda est centro tudo est acontecendo hoje mundo inclusive dentro casa famosa agenda 2030
48,laborat rio wuhan glaxo pfizer ligado soros gate laborat rio biol gico chin s wuhan propriedade glaxo acaso dono pfizer produz vacina acaso administrado finan black rock acaso administra finan open foundation company soros foundation acaso atende francesa axa coincidentemente dono empresa alem winterthur acaso construiu laborat rio chin s wuhan comprado acidentalmente alem allianz ali s vanguard acionista acionista black rock controla bancos centrais administra cerca ter capital investimento global ali s principais acionistas microsoft propriedade bill gate acaso acionista pfizer vende milagre vaccine atualmente primeiro patrocinador oms n suficientemente claro morcego entrou agarrou serpente todo planeta infectou posso continuar ma favor n distribua massivamente postagem deixe continuar porque apenas conspirador espalhando not cia falsas vamos acordar mo ada treta grande
49,v deo mostra argentinos m scara aglomera vel rio maradona governo argentino liberou popula lockdown vel rio maradona covid19 v ru mortal china hipocrisia n comentada tv grupos esquerdalhas fdps vel rio maradona xinxeiro daqui 14 dia ainda existir argentino vivo porque corona virus tudo farsa
50,madagascar deixou oms ap s entidade oferecer u 20 milh sabotar cura covid 19 madagascar macho madagascar deixa organiza mundial sa sobre esc ndalo covid 19 presidente madagascar andry ranoelina retirou pa s organiza mundial sa disse raiva europa criou organiza desejo africanos continuem dependentes frica encontrou droga contra v ru corona ma europa acredita det m monop lio intelig ncia recusa reconhec la partir hoje n membros organiza mundial sa oms ofereceu 20 milh colocar pouco toxicidade rem dio covid 19 presidente madagascar exp oms presidente madagascar andry rajoelina dito organiza mundial sa oms havia oferecido u 20 milh colocar pouco t xico rem dio coronav ru enquanto europeus pirateavam rem dio andry rajoelina diz fique atento organiza mundial sa associamos pensando ajudar est aqui matar africanos
51,madagascar deixou oms ap s entidade oferecer u 20 milh sabotar cura covid 19 pa s madagascar encontrou cura coronav ru ma europeus falaram projeto u 20 milh colocar toxinas nesse rem dio matar amigo africanos v u lo pe todos africanos n usem vacina contra coronav ru porque mata venham madagascar voc s est doentes pa s est pronto receb los entusiasmo rem dio cor amarela n compre cor verde verde vem europa europeus piratearam rem dio puseram venenos matar africanos s queriam vacinas protestamos acrescentou favor compartilhe mensagem porque urgente hackearam drogas quero todos africanos saibam favor n guarde mensagem voc compartilhe concluiu
52,covid s vai parar infectar maioria pessoas muta est menos letal mentiram sobre isolamento vou explicar mil sima vez venho tentando enfiar cabe pessoas desde pandemia decretada vou tentar ter calma usar termos f ceis vcs entenderem vamos l desgra desse v ru s vai parar infectar maioria pessoas acontece p ciclos virais c apesar ter sido criado p china n nenhum extra terrestre comporta qualquer outro v ru respirat rio ciclo vai cumprir querendo vc n c digo gen tico j todo codificado j visto muta deixa menos letal mentiram vcs ficassem casa merda desse v ru iria desaparecer maioria pessoas acreditou nessa loucura fecharam p toda criaram caos mundo hoje entendemos objetivos tr s disso obviamente v ru n embora outro planeta idiota acreditando ficou aqui esperando vc porque sinto dizer vai encontrar cara p lida pare marika enfrente p coragem ma tudo bem acreditar primeira vez at tolero n entendo ma tolero ma acreditar nessa mentira segunda vez demais cabe n po vel ainda deparar tanta gente hist rica frouxa achando vai todo mundo morrer segunda onda vai pior deus c u gera m n suporto ver gente denunciando outras pessoas aplaudindo lockdown n enganem poi ainda h muita gente assim maior n mero bitos tudo fechado prenderam pessoas forma totalmente irrespons vel nenhuma comprova efic cia claro objetivos tudo outros nunca proteger popula ainda n entendeu precisa tratar mentiram sobre preocupa sobrecarregar sistema sa n nenhuma morte falta leito uti sistema organizou continuaram fazendo terrorismo grande maioria mortes negarem tratamento internamentos precoces forum outras causa bito jogaram conta v ru respondam diante disso tudo aconteceu justificativa nova amea restri gente ainda acredita tanta mentira outra coisa meio bvio libertassem escravos parcialmente n mero casos iria aumentar precisa g nio concluir v ru s vai embora n mero pessoas suscet veis diminuir aumento casos n est acarretando maior n mero bitos parem informar m dia vcs precisam acreditar objetivo todo midia sempre fazer terrorismo trabalho hospitais trabalhei uti destinada pacientes covid participando dentro problema n preciso informar nada horda cientistas desonestos descobrimos existir vendo dentro casos est manifestando forma leve sabemos est ocorrendo m ltiplos fatores al m muta v ru pessoas est tomando sol exercitando novamente tomando profilaxias j sabemos funcionam fazendo tratamento precoce n porque aceitar qualquer restri liberdade protejam pessoas fr geis ali s precisam protegidas qualquer outro agente infeccioso n s covid parem denunciar pessoas parem assistir tv n podemos deixar prendam novo acontecer motivo pra ter guerra civil
53,delcy rodr guez diz maduro fez acordo coronav ru venezuela bom dia acordo decretado presidente corresponde semana folga v ru pausado come ando amanh at domingo est livres ma voc pode ir rua n ter problemas cont gio qualquer coisa porque assinaram acordo delcy rodr guez vice presidente venezuela informou presidente nicol s maduro firmou decreto pausando v ru semana partes acordo n riam qualquer momento venezuela assina acordo covid ter semana pausa pessoas possam andar ruas v ru promete n contaminar ningu m governo venezuela afirma ter feito conv nio virus nso contamine ningu m 1 semana maduro publicou hoje 23 novembro decreto avisando v ru pausado venezuela semana per odo n risco cont gio j assinaram conv nio v ru n contaminar pessoas neste per odo comunismo frita neur nios impedindo qualquer sinapse nervosa assista v deo
54,candidato dimas gadelha disse vai implantar banheiro unissex escolas s gon alo assim maric implantaremos ideologia g nero instalando terceiro banheiro toda escolas rede ensino sg governo igualdade todos dimas 13 gga grupo gay atitude lgbts nanda matinny transexual presidenta grupo gay atitude reafirmo apoio dimas gadelha prefeito s gon alo dimas vai implantar ideologia g nero escolas assim combater homofobia fundamentalismo religioso ensina cartilha pt contra opressores votem pt votem dimas gadelha
55,remessa inje matar pessoas est chegando brasil oi irm francisca boa noite paz senhor amada j cheguei j aqui rondon polis cidade aonde ia ficar quero passar algo irm durante viagem soube quero passar pra senhora pro m ximo pessoas senhora senhora puder avisar j avisei fam lia j avisei m mora laranjal jari t passando pro m ximo pessoas possa tamb m tava sa segunda feira laranjal jari aqui pra rondon polis onde moro trabalho lu santar m pra pra c pra cidade nibus vinha vim equipe m dicos aonde vinha tamb m enfermeiros tavam pro par eh trabalhando algumas pessoas infectada v ru coronav ru trabalhando dando assist ncia falaram pra todo mundo vinha naquele nibus m dicos falaram enfermeiros tamb m vai vim agora nova remessa inje inje t toda contaminadas s toda pra matar chegarem falaram v anunciar dizendo pra voc ir pro hospital pro posto tomar pra voc prevenir contra v ru pra voc n gripar pra voc t aqui imunidade baixa inje vai aumentar ma verdade n verdade tudo mentira inje vai afetar cora rim bra falaram s es tr s rg afeta tudo mata hora ent falaram n pra gente deixar ningu m ningu m fam lia ningu m amigo gente puder n deixar ir pro hospital porque t tudo contaminado tudo experi ncia pra matar eh falaram tamb m muitos m dicos muitos enfermeiros dentro hospitais t tudo comprado t tudo vendido t ciente disso falaram tamb m muitos m dicos muitos enfermeiro t pedindo pra sair j afastaram porque muitos n n compactuam n aguenta press ent amados eh t t fazendo udio porque deus deus t controle tudo homem homem pensa t controle ma deus t controle tudo n s confiar senhor ent n v n deixe ningu m fam lia ir n tome inje deus permitiu deus faz homem abrir boca deus permite falam fala n s n sabemos t acontecendo ali dentro ma deus permite es m dicos abrem boca falam pra gente pra gente n ficar pra gente n pego surpresa ent ent t gravando udio t avisando m ximo pessoas voc t ouvindo udio n v n v fique casa voc gripar voc n bem voc febre n v pro hospital chegarem tamb m porta casa pra dar inje n aceite n aceite fale n quer tomar n toma inje porque n prov m senhor gente guardar cuidar confiar senhor continuar orando amados porque n brincadeira deus deus cuida n s deus cuida dessa delet controle tudo n s apenas confiar senhor
56,porto feliz sp tratou 100 popula hidroxicloroquina n nenhuma morte prefeito porto feliz sp cidade refer ncia combate covid 19 cidade onde 100 popula tratada preventivamente hidroxicloroquina obtendo xito extraordin rio nenhuma morte covid 19 registrado cidade iniciou tratamento prefeito reeleito 92 1 votos agora procura saber grande m dia chamou prefeito pra entrevista
57,alexandre kalil acaba anunciar fechamento rcio belo horizonte agora pode fechar tudo novo n kalil n vai ter segundo turno porque voc todos politico safados oportunistas iriam esperar segundo turno d vidas ditador kalil ia fechar tudo outra vez est oh trouxas belo horizonte reelegeram porcaria agora aguenta reclamar infelizmente bh vai acabar q apoiaram kalil ta ai ho segunda feira vao voltar fechar tudo novamente gostaria informar popula bh dado todo protocolo pbh pioraram n s voltando fase zero partir segunda feira n s s iremos manter servi essenciais in cio pandemia ningu m est triste amolado ningu m avisou tanto n f rias todos dever amos manter casa n feito
58,acm neto anuncia lockdown salvador ap s elei 2020 acm neto lockdown setorizado n resolver fechar tudo
59,acm neto anuncia lockdown salvador ap s elei 2020 parab n idiotas teis votaram prefeita pigmeu j avisou vai fechar tudo 16 11 2020 es s lamento
60,acm neto anuncia lockdown salvador ap s elei 2020 n sabia aconteceria passou politica virus voltou
61,acm neto anuncia lockdown salvador ap s elei 2020 acabou politica es miseraveis ja vem desemprego recess viol ncia etc realmente povo mem ria curta
62,m dica est vida morte tomar vacina chinesa m dica vida morte tomar vacina china vacina pode matar sim causar danos irrevers veis popula m dica participava testis vacina est entubada vida morte repassem ante v tirar ar dizer papo j t ficando manjado fake news
63,argentina comprou fornos cremat rio v timas vacina fornos cremat rio chegados china argentina calada noite l vacina coronavac chegaram todos estados pa s penso s paulo deve receber tamb m destino s nova c mara cremat rias modernas est sendo enviadas todos pa s t m obedentemente pandemia quarentena vacina obrigat ria porque sabe posteriormente humanos recebem vacinas partir ent n ocupar lugar cemit rio n perguntas desconfort veis n aut psias n saiba nada est recorrer sistema aparentemente j chegado argentina misteriosa silenciosamente est sendo distribu toda obedientes nova ordem mundial atrav s pol ticos transam partidos comunistas principalmente china r ssia vez aceitaram dinheiro d diva pessoal entrega est fazer respectivos povos ter conta s seres humanos est condenar novo ougue mundial boa tarde acabei enviar chegou h v rio dia aqui celular esquecido enviar voc s nova c mara cremat rias modernas enviadas moderniza todos pa s obedientemente t m vacina pand mica quarentena obrigat ria poi sabe humanos recebem vacinas saem n ter ocupar lugar cemit rio n perguntas aut psias ningu m saiba nada j est tratadas novidade veio argentina misteriosamente est sendo distribu silenciosamente toda obedientes nova ordem mundial meio pol ticos lidaram partidos comunistas centrais especialmente china vez aceitaram d diva dinheiro pessoal entrega povo fazem humanos entregam futuro ougue
64,governo portaria 518 passou proibir entrada estrangeiros s novembro 2020 surdina restri estrangeiros 30 dia brasil prepara segunda onda algu m viu sendo destaque m dia nesse fds portaria n 518 12 novembro 2020 disp sobre restri excepcional tempor ria entrada pa s estrangeiros qualquer nacionalidade conforme recomenda ag ncia nacional vigil ncia sanit ria anvisa
65,governo portaria 518 passou proibir entrada estrangeiros s novembro 2020 aten vejam noticiado s v falar acabar eleic brasileiros n costume ler di rio oficial ai governantes deitam rolam manipula proibi entrada estrangeiros brasil pr ximos 30 dia casos covid est aumentando aqui brasil preocupante agora hospitais campanha caso est sendo abafado devido s elei tomar cuidado redobrado votarmos elei veremos resultado portanto cuidem
